time	V(to_dekoder)
2.098318732543900e-003	2.078341e+000
2.098412531813523e-003	2.071331e+000
2.098507549588652e-003	2.064146e+000
2.098643856256037e-003	2.053683e+000
2.098854835668861e-003	2.037159e+000
2.099163860593871e-003	2.012260e+000
2.099626300320805e-003	1.973503e+000
2.100377134432181e-003	1.908389e+000
2.100498331777247e-003	1.897567e+000
2.100740726467380e-003	1.875350e+000
2.101225515847645e-003	1.830322e+000
2.101318947018150e-003	1.821530e+000
2.101505809359160e-003	1.803758e+000
2.101626275317980e-003	1.792235e+000
2.101759068082360e-003	1.779449e+000
2.102000000000000e-003	1.756144e+000
2.102008467966164e-003	1.755321e+000
2.102025403898491e-003	1.753676e+000
2.102639936300094e-003	1.695362e+000
2.103254468701698e-003	1.639069e+000
2.103869001103301e-003	1.584799e+000
2.104483533504905e-003	1.532550e+000
2.105098065906508e-003	1.482324e+000
2.105712598308111e-003	1.434120e+000
2.106327130709715e-003	1.387938e+000
2.110662729385593e-003	1.080385e+000
2.111746629054563e-003	1.012815e+000
2.113914428392503e-003	8.920326e-001
2.114835932608197e-003	8.436109e-001
2.115445061610204e-003	8.134614e-001
2.116021222180852e-003	7.859935e-001
2.116467851263364e-003	7.653928e-001
2.116994286590971e-003	7.419183e-001
2.117596322442596e-003	7.160274e-001
2.118290629495111e-003	6.874055e-001
2.119094273394239e-003	6.559332e-001
2.120170401039370e-003	6.164618e-001
2.121660073852371e-003	5.666476e-001
2.124100292809240e-003	4.962156e-001
2.128605906609649e-003	3.920733e-001
2.134729179451663e-003	2.880509e-001
2.141739329498172e-003	2.070819e-001
2.148205246208563e-003	1.586933e-001
2.155068338145305e-003	1.261323e-001
2.162093498374955e-003	1.050957e-001
2.170039019492803e-003	9.057221e-002
2.178575350931686e-003	8.143412e-002
2.188529433326561e-003	7.561002e-002
2.199889054929609e-003	7.226323e-002
2.213970652697761e-003	7.042859e-002
2.231436020284610e-003	6.958130e-002
2.255224815612605e-003	6.925801e-002
2.289025054684784e-003	6.917422e-002
2.489000000000000e-003	6.916472e-002
2.499000000000000e-003	6.916472e-002
2.499030941537080e-003	6.917649e-002
2.499092824611241e-003	6.922218e-002
2.499171937574192e-003	6.933473e-002
2.499258594110410e-003	6.954331e-002
2.499351381567129e-003	6.987931e-002
2.499448862261742e-003	7.037140e-002
2.499562718601586e-003	7.113513e-002
2.499700261152196e-003	7.235464e-002
2.499924333578553e-003	7.506590e-002
2.500318124998840e-003	8.202830e-002
2.501105707839412e-003	1.027087e-001
2.502161583804786e-003	1.399980e-001
2.502606694826656e-003	1.594431e-001
2.502883967674347e-003	1.732561e-001
2.503043542249137e-003	1.816760e-001
2.503137108114376e-003	1.867646e-001
2.503212026054415e-003	1.908918e-001
2.503269107424710e-003	1.940523e-001
2.503331922763545e-003	1.975480e-001
2.503412158378930e-003	2.020561e-001
2.503548578371062e-003	2.098403e-001
2.503704961245877e-003	2.189593e-001
2.503876164305151e-003	2.292538e-001
2.504143608596245e-003	2.459877e-001
2.504490947576462e-003	2.689326e-001
2.505036054735892e-003	3.075967e-001
2.505746087308503e-003	3.628275e-001
2.506847485990340e-003	4.566469e-001
2.507715762684964e-003	5.374354e-001
2.508168078759175e-003	5.835333e-001
2.509000000000000e-003	6.710133e-001
2.509083192124082e-003	6.800669e-001
2.509249576372247e-003	6.980276e-001
2.510247881861237e-003	8.009127e-001
2.511578955846556e-003	9.260107e-001
2.514241103817195e-003	1.140988e+000
2.519565399758473e-003	1.474784e+000
2.527215077584100e-003	1.808104e+000
2.535608727818483e-003	2.032660e+000
2.545753066445096e-003	2.181437e+000
2.557534234138238e-003	2.267172e+000
2.572828115113001e-003	2.314362e+000
2.592064111238000e-003	2.334934e+000
2.619239141172493e-003	2.342067e+000
2.658861370635533e-003	2.343708e+000
2.729530353648115e-003	2.344100e+000
2.925000000000000e-003	2.344971e+000
2.925378221122263e-003	2.342134e+000
2.926134663366788e-003	2.330404e+000
2.927647547855838e-003	2.291555e+000
2.928001887547031e-003	2.278434e+000
2.928710566929417e-003	2.245648e+000
2.929115543376190e-003	2.225000e+000
2.929387243025806e-003	2.209953e+000
2.929575668740643e-003	2.199029e+000
2.929740259844497e-003	2.189209e+000
2.929954103969464e-003	2.176241e+000
2.930039578741132e-003	2.171004e+000
2.930104401021198e-003	2.166997e+000
2.930154575159152e-003	2.163871e+000
2.930212083059667e-003	2.160255e+000
2.930301003448941e-003	2.154604e+000
2.930396182307815e-003	2.148477e+000
2.930510102939184e-003	2.141033e+000
2.930616738596220e-003	2.133953e+000
2.930733631519277e-003	2.126051e+000
2.930897508807824e-003	2.114722e+000
2.931151185376481e-003	2.096654e+000
2.931505468784979e-003	2.070384e+000
2.932021542331742e-003	2.030041e+000
2.932792769967605e-003	1.966167e+000
2.933541930774290e-003	1.900732e+000
2.934111633739124e-003	1.849001e+000
2.934239979562237e-003	1.837052e+000
2.934496671208463e-003	1.812732e+000
2.935000000000000e-003	1.764602e+000
2.935008998227539e-003	1.763732e+000
2.935026994682616e-003	1.761992e+000
2.935680008909708e-003	1.700395e+000
2.936333023136800e-003	1.641026e+000
2.936986037363892e-003	1.583883e+000
2.937639051590984e-003	1.528968e+000
2.938292065818076e-003	1.476280e+000
2.938945080045168e-003	1.425820e+000
2.939598094272260e-003	1.377587e+000
2.944205186772058e-003	1.056151e+000
2.945138991005231e-003	9.987801e-001
2.947006599471577e-003	8.960404e-001
2.947989480526625e-003	8.447834e-001
2.948654047612777e-003	8.120275e-001
2.949305063764244e-003	7.812528e-001
2.949940221953227e-003	7.523190e-001
2.950460192229797e-003	7.295128e-001
2.951090655330662e-003	7.028952e-001
2.951701423650594e-003	6.781687e-001
2.952551579214385e-003	6.453916e-001
2.953478165914242e-003	6.118371e-001
2.954986167879459e-003	5.617266e-001
2.957066355840536e-003	5.013043e-001
2.961226731762690e-003	4.034280e-001
2.967288372506960e-003	2.972623e-001
2.974360853054206e-003	2.123952e-001
2.980838074378439e-003	1.620034e-001
2.987668250297412e-003	1.283397e-001
2.994639453617028e-003	1.066168e-001
3.002526120962346e-003	9.156353e-002
3.010981106172530e-003	8.206810e-002
3.020820827959911e-003	7.599104e-002
3.032012683055726e-003	7.248059e-002
3.045846911512739e-003	7.053784e-002
3.062931533553297e-003	6.962814e-002
3.086083511825414e-003	6.927282e-002
3.118713587353006e-003	6.917696e-002
3.332000000000000e-003	6.916472e-002
3.332030941535305e-003	6.917649e-002
3.332092824605914e-003	6.922218e-002
3.332171937588236e-003	6.933473e-002
3.332258594141451e-003	6.954331e-002
3.332351381590888e-003	6.987931e-002
3.332448862281887e-003	7.037140e-002
3.332562718622196e-003	7.113513e-002
3.332700261184760e-003	7.235464e-002
3.332924333623485e-003	7.506590e-002
3.333318125075392e-003	8.202830e-002
3.334105707979206e-003	1.027087e-001
3.335161583970737e-003	1.432020e-001
3.336589511225745e-003	2.146815e-001
3.337015693428425e-003	2.399577e-001
3.337208482486610e-003	2.524990e-001
3.337329715716693e-003	2.605603e-001
3.337450001425611e-003	2.686554e-001
3.337573905574632e-003	2.771178e-001
3.337720263786319e-003	2.873221e-001
3.337961542534445e-003	3.045845e-001
3.338216365555283e-003	3.235338e-001
3.338726011596961e-003	3.634620e-001
3.339342784951043e-003	4.150425e-001
3.340144803241356e-003	4.867523e-001
3.340985264869447e-003	5.677845e-001
3.341333811874370e-003	6.037341e-001
3.342000000000000e-003	6.743546e-001
3.342066618812563e-003	6.816087e-001
3.342199856437689e-003	6.960226e-001
3.342999282188444e-003	7.793444e-001
3.344065183189451e-003	8.824825e-001
3.346196985191466e-003	1.064846e+000
3.350460589195495e-003	1.355588e+000
3.358373375681222e-003	1.742747e+000
3.365957977340102e-003	1.977949e+000
3.376263350187887e-003	2.155376e+000
3.386847591887472e-003	2.249555e+000
3.401954214823637e-003	2.308100e+000
3.419112869362243e-003	2.333098e+000
3.445046597061304e-003	2.342957e+000
3.479119293340007e-003	2.345408e+000
3.541862578860297e-003	2.345878e+000
3.758000000000000e-003	2.346821e+000
3.758374691943084e-003	2.344041e+000
3.759124075829252e-003	2.332559e+000
3.760622843601587e-003	2.293427e+000
3.761272419190284e-003	2.269999e+000
3.761379288206270e-003	2.265304e+000
3.761593026238240e-003	2.255208e+000
3.761777776006674e-003	2.246187e+000
3.761932151109101e-003	2.238389e+000
3.762159081712884e-003	2.226681e+000
3.762231610030597e-003	2.222890e+000
3.762289997011817e-003	2.219804e+000
3.762340158810916e-003	2.217129e+000
3.762396603245052e-003	2.214087e+000
3.762481450960322e-003	2.209454e+000
3.762571929402770e-003	2.204435e+000
3.762686445264262e-003	2.197961e+000
3.762807455452112e-003	2.190970e+000
3.762948595278897e-003	2.182629e+000
3.763078610404121e-003	2.174757e+000
3.763232731888415e-003	2.165161e+000
3.763467813541184e-003	2.150006e+000
3.763804022115496e-003	2.127326e+000
3.764275258399437e-003	2.093636e+000
3.764923429016877e-003	2.043850e+000
3.765893290319136e-003	1.964821e+000
3.766075558516281e-003	1.949234e+000
3.766440094910570e-003	1.916713e+000
3.767169167699149e-003	1.849643e+000
3.768000000000000e-003	1.771297e+000
3.768009601216846e-003	1.770368e+000
3.768028803650540e-003	1.768512e+000
3.768725577673147e-003	1.702904e+000
3.769422351695755e-003	1.639794e+000
3.770119125718362e-003	1.579182e+000
3.770815899740969e-003	1.521068e+000
3.771512673763576e-003	1.465453e+000
3.772209447786184e-003	1.412336e+000
3.772906221808790e-003	1.361717e+000
3.777822044834428e-003	1.024888e+000
3.778710048760603e-003	9.715150e-001
3.780486056612954e-003	8.761286e-001
3.781394963150069e-003	8.297201e-001
3.782026412145153e-003	7.991543e-001
3.782637969815263e-003	7.707351e-001
3.783332030637444e-003	7.396817e-001
3.783909126551822e-003	7.148503e-001
3.784527065956682e-003	6.893128e-001
3.785162425089948e-003	6.641747e-001
3.786036536641882e-003	6.313365e-001
3.787114485002106e-003	5.934715e-001
3.788705465472767e-003	5.426781e-001
3.791158767107716e-003	4.755424e-001
3.796065370377614e-003	3.691939e-001
3.802415048315662e-003	2.690127e-001
3.809385053186694e-003	1.951685e-001
3.815869188823426e-003	1.509128e-001
3.822777783454074e-003	1.210614e-001
3.829938500003772e-003	1.016252e-001
3.838021600613290e-003	8.833545e-002
3.846781905519343e-003	7.999930e-002
3.857014952662651e-003	7.475844e-002
3.868815772918462e-003	7.178187e-002
3.883516387889532e-003	7.019248e-002
3.901986319828326e-003	6.948308e-002
3.927424815798318e-003	6.922869e-002
3.964392242933779e-003	6.916944e-002
4.165000000000000e-003	6.916472e-002
4.165029207043342e-003	6.917516e-002
4.165087621130026e-003	6.921616e-002
4.165165602689937e-003	6.932223e-002
4.165250696492771e-003	6.952043e-002
4.165346639123674e-003	6.985960e-002
4.165443464153701e-003	7.034031e-002
4.165558212754530e-003	7.109960e-002
4.165690903651191e-003	7.226083e-002
4.165912972049463e-003	7.490490e-002
4.166290801274970e-003	8.144110e-002
4.167046459725985e-003	1.008665e-001
4.168097865224218e-003	1.403619e-001
4.169493904431928e-003	2.093889e-001
4.170034817183907e-003	2.415756e-001
4.170378694926166e-003	2.645131e-001
4.170576176727137e-003	2.783413e-001
4.170691572695564e-003	2.866514e-001
4.170766512985695e-003	2.921358e-001
4.170816355594903e-003	2.958188e-001
4.170855771433739e-003	2.987475e-001
4.170903842890473e-003	3.023279e-001
4.170942379459260e-003	3.052005e-001
4.170989270961390e-003	3.086993e-001
4.171048832577269e-003	3.131570e-001
4.171167955809028e-003	3.221281e-001
4.171297341297966e-003	3.319783e-001
4.171461613589300e-003	3.446817e-001
4.171646014217724e-003	3.592500e-001
4.171923904186750e-003	3.818517e-001
4.172310765337929e-003	4.145836e-001
4.172867929436795e-003	4.643137e-001
4.173854010251343e-003	5.575320e-001
4.174248473432203e-003	5.980187e-001
4.175000000000000e-003	6.772925e-001
4.175075152656780e-003	6.854644e-001
4.175225457970339e-003	7.016886e-001
4.176127289851695e-003	7.950362e-001
4.177329732360170e-003	9.095227e-001
4.179734617377118e-003	1.108984e+000
4.184544387411016e-003	1.422689e+000
4.192320735470258e-003	1.780653e+000
4.200330192510579e-003	2.010568e+000
4.210548314029007e-003	2.172333e+000
4.221752491498668e-003	2.262096e+000
4.236953764256556e-003	2.314404e+000
4.255181183597645e-003	2.337023e+000
4.281750040560111e-003	2.345352e+000
4.318621985959334e-003	2.347341e+000
4.385337920562784e-003	2.347751e+000
4.591000000000001e-003	2.348634e+000
4.591379743253574e-003	2.345788e+000
4.592139229760721e-003	2.334894e+000
4.593319856949928e-003	2.306896e+000
